City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3840300,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,63.57,11,1,13.33
5848280,Kapaa,US,22.0752,-159.319,75.11,81,40,13.8
2021188,Kurumkan,RU,54.3,110.3,65.97,53,59,4.52
5866583,Saint Paul Harbor,US,57.79,-152.4072,54.91,76,1,4.61
5746545,Portland,US,45.5234,-122.6762,69.1,71,75,1.01
3985710,Cabo San Lucas,MX,22.8909,-109.9124,88.21,71,1,5.99
1214026,Sabang,ID,5.8933,95.3214,83.62,77,68,20.31
3439208,Capiíbary,PY,-24.8,-56.0333,54.46,49,97,8.7
2122090,Pevek,RU,69.7008,170.3133,33.91,93,100,15.19
3664716,Canutama,BR,-6.5339,-64.3831,99.21,26,32,3.31
2206939,Bluff,NZ,-46.6,168.3333,48.79,71,82,21.3
3424607,Tasiilaq,GL,65.6145,-37.6368,42.96,82,48,5.08
3933659,Pacocha,PE,-17.5833,-71.3333,59.14,88,90,8.05
2075265,Busselton,AU,-33.65,115.3333,46.04,63,92,11.99
1810240,Gejiu,CN,23.306,103.1635,60.35,87,96,0.22
2239862,Malanje,AO,-9.5402,16.341,71.76,18,73,2.91
2276492,Harper,LR,4.375,-7.7169,78.49,71,94,10.56
5110365,Broome,US,42.2506,-75.833,82.89,51,1,4.0
2181625,Te Anau,NZ,-45.4167,167.7167,44.64,92,85,4.25
5106841,Albany,US,42.6001,-73.9662,83.37,56,9,3.91
1235846,Matara,LK,5.9485,80.5353,79.2,87,91,11.16
1507390,Dikson,RU,73.5069,80.5464,56.12,89,100,16.91
4020109,Atuona,PF,-9.8,-139.0333,77.77,72,28,20.15
2163355,Hobart,AU,-42.8794,147.3294,55.54,62,88,5.01
3833367,Ushuaia,AR,-54.8,-68.3,37.02,82,100,4.88
3831208,Qaanaaq,GL,77.484,-69.3632,42.82,96,80,5.1
933995,Souillac,MU,-20.5167,57.5167,66.36,92,98,17.52
4030556,Rikitea,PF,-23.1203,-134.9692,74.12,76,97,16.31
4032243,Vaini,TO,-21.2,-175.2,66.36,94,75,4.61
470762,Vyartsilya,RU,62.1764,30.693,73.11,56,50,6.71
3115739,Narón,ES,43.5167,-8.1528,68.41,73,23,8.21
155016,Malinyi,TZ,-8.9333,36.1333,70.29,38,1,4.54
5282297,Bethel,US,41.3712,-73.414,86.56,54,1,4.0
3382160,Cayenne,GF,4.9333,-52.3333,86.09,71,90,7.0
3355672,Lüderitz,NA,-26.6481,15.1594,58.42,77,0,13.13
1006984,East London,ZA,-33.0153,27.9116,72.54,23,0,5.75
2641598,Newport,GB,51.5877,-2.9984,68.41,78,53,9.06
6201424,Mataura,NZ,-46.1927,168.8643,48.47,90,100,1.86
935215,Saint-Philippe,RE,-21.3585,55.7679,67.87,74,51,10.98
1171868,Loralai,PK,30.3705,68.598,87.03,46,76,12.44
2156643,Mount Gambier,AU,-37.8333,140.7667,53.51,76,90,21.85
1516589,Zhezkazgan,KZ,47.8043,67.7144,73.33,23,0,11.97
110690,Faya,SA,18.3851,42.4509,64.92,81,99,7.05
1337610,Thinadhoo,MV,0.5333,72.9333,82.08,71,59,4.72
3838859,Río Gallegos,AR,-51.6226,-69.2181,42.85,87,90,8.05
2090021,Namatanai,PG,-3.6667,152.4333,79.05,81,51,5.48
2018553,Ol'ga,RU,43.7444,135.2892,67.84,97,45,3.0
2110227,Butaritari,KI,3.0707,172.7902,81.73,72,100,10.54
5855927,Hilo,US,19.7297,-155.09,73.85,91,90,3.44
1106677,Bambous Virieux,MU,-20.3428,57.7575,66.22,84,97,16.22
5919850,Chapais,CA,49.7834,-74.8492,59.79,41,73,9.46
1640972,Katobu,ID,-4.9408,122.5276,73.51,91,44,3.65
1506271,Gorno-Altaysk,RU,51.9561,85.955,56.57,91,35,1.74
964432,Port Alfred,ZA,-33.5906,26.891,73.87,28,0,20.85
2738381,Lata,PT,40.1629,-8.3327,69.67,45,0,12.86
1806445,Ji’an,CN,27.1172,114.9793,79.79,83,25,2.1
1263776,Mangan,IN,27.5167,88.5333,78.37,90,100,1.41
2071860,Esperance,AU,-33.8667,121.9,51.39,73,74,20.71
5131638,Plainview,US,40.7765,-73.4673,87.76,45,1,3.0
3443061,Chui,UY,-33.6971,-53.4616,48.97,51,3,17.18
3146487,Raudeberg,NO,61.9875,5.1352,61.48,90,100,7.72
6185377,Yellowknife,CA,62.456,-114.3525,55.22,62,52,8.99
2015306,Tiksi,RU,71.6872,128.8694,35.74,95,53,4.76
3832899,Viedma,AR,-40.8135,-62.9967,48.2,53,62,26.8
1630058,Karaton,ID,-6.3424,106.1045,75.4,85,46,1.07
5850554,Makakilo City,US,21.3469,-158.0858,76.78,65,1,4.61
2122104,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.7,87,100,14.27
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,85.86,45,0,13.8
3466165,Cidreira,BR,-30.1811,-50.2056,54.5,60,70,18.57
3416888,Grindavik,IS,63.8424,-22.4338,54.07,87,99,16.11
2123814,Leningradskiy,RU,69.3833,178.4167,35.89,98,100,4.72
2136825,Isangel,VU,-19.55,169.2667,69.19,72,41,12.06
1150965,Ranong,TH,9.9658,98.6348,80.22,87,87,13.73
2236967,Soyo,AO,-6.1349,12.3689,74.23,83,90,11.61
2155415,New Norfolk,AU,-42.7826,147.0587,53.92,62,99,1.99
4589207,Newberry,US,34.2746,-81.6187,89.83,67,88,3.58
2112802,Hasaki,JP,35.7333,140.8333,75.6,74,83,10.25
2180815,Tuatapere,NZ,-46.1333,167.6833,48.81,87,87,5.35
3694112,Paita,PE,-5.0892,-81.1144,79.36,72,66,10.42
1067565,Beloha,MG,-25.1667,45.05,61.75,67,55,9.35
3573374,The Valley,AI,18.217,-63.0578,86.43,66,40,16.11
2064735,Nhulunbuy,AU,-12.2333,136.7667,70.41,94,18,0.0
70979,Sayyan,YE,15.1718,44.3244,70.43,47,94,4.45
1185207,Ishurdi,BD,24.1333,89.0833,82.62,87,100,5.17
2234974,Bamenda,CM,5.9527,10.1582,66.56,89,67,4.14
3374333,Praia,CV,14.9215,-23.5087,82.94,61,75,6.91
2121025,Srednekolymsk,RU,67.45,153.6833,41.94,75,100,10.51
1803300,Liuzhou,CN,24.3126,109.3892,85.41,66,25,0.67
6255012,Flinders,AU,-34.5833,150.8552,56.61,66,100,1.01
4035715,Avarua,CK,-21.2078,-159.775,69.85,83,20,2.3
3514843,Vega de Alatorre,MX,20.0333,-96.6333,86.65,59,60,5.95
88533,Awjilah,LY,29.1081,21.2869,96.42,18,0,7.74
1793424,Taku,CN,39.0211,117.6469,75.16,90,100,7.67
3391774,Poção de Pedras,BR,-4.6667,-44.85,96.62,28,9,4.65
546105,Nikolskoye,RU,59.7035,30.7861,81.64,48,38,4.34
2108857,Gizo Government Station,SB,-8.103,156.8419,81.63,75,93,6.78
1282256,Hithadhoo,MV,-0.6,73.0833,81.32,78,98,7.58
777019,Vardø,NO,70.3705,31.1107,48.18,93,75,2.3
2194098,Ahipara,NZ,-35.1667,173.1667,54.57,81,16,9.69
3466704,Castro,BR,-24.7911,-50.0119,68.68,58,71,12.71
4791259,Virginia Beach,US,36.8529,-75.978,86.25,71,75,6.91
5327550,Benicia,US,38.0494,-122.1586,67.1,70,20,1.01
3470137,Belmonte,BR,-15.8631,-38.8828,77.5,68,24,6.55
3115824,Muros,ES,42.7762,-9.0603,73.92,64,37,16.22
3674676,Mitú,CO,1.1983,-70.1733,88.59,55,58,2.17
3652764,Puerto Ayora,EC,-0.7393,-90.3518,74.41,68,54,10.71
1637001,Biak,ID,-0.9131,122.8766,74.68,79,24,7.63
745527,Horasan,TR,40.0458,42.1728,69.78,59,48,7.36
1490256,Talnakh,RU,69.4865,88.3972,73.0,64,92,7.29
1529484,Kumul,CN,42.8,93.45,90.81,15,2,4.0
934322,Mahébourg,MU,-20.4081,57.7,66.25,86,98,17.49
2014624,Udachny,RU,66.4167,112.4,75.43,48,84,3.87
3470744,Barra da Estiva,BR,-13.6261,-41.3269,78.87,34,9,8.46
3874787,Punta Arenas,CL,-53.15,-70.9167,42.53,93,75,10.36
2208248,Kaitangata,NZ,-46.2817,169.8464,42.93,69,89,5.57
1259385,Port Blair,IN,11.6667,92.75,82.47,85,89,18.23
3991622,La Providencia,MX,28.7167,-111.5833,94.15,53,11,3.0
3398428,Humberto de Campos,BR,-2.5983,-43.4611,90.23,48,30,6.76
1586443,Ca Mau,VN,9.1769,105.15,79.21,86,15,6.2
3868210,Vilcún,CL,-38.65,-72.2333,45.34,55,12,6.06
3408368,Acaraú,BR,-2.8856,-40.12,87.26,54,35,19.51
2630299,Hofn,IS,64.2539,-15.2082,55.24,79,95,2.68
1494941,Pirovskoye,RU,57.6267,92.2658,59.5,74,96,7.7
5870133,Nome,US,64.5011,-165.4064,50.07,87,90,12.66
2637853,Sidmouth,GB,50.6909,-3.2397,66.79,88,40,14.97
1282898,Pokhara,NP,28.2333,83.9833,74.97,84,98,3.22
2022572,Khatanga,RU,71.9667,102.5,74.37,57,70,11.12
2120047,Ust'-Omchug,RU,61.15,149.6333,46.62,87,100,5.64
1735106,George Town,MY,5.4112,100.3354,83.89,81,20,0.0
6089245,Norman Wells,CA,65.282,-126.8329,57.47,87,99,1.92
2126123,Chokurdakh,RU,70.6333,147.9167,35.22,86,100,10.56
3430863,Mar del Plata,AR,-38.0023,-57.5575,47.93,59,90,10.0
1488048,Ulagan,RU,50.6321,87.9563,54.41,98,100,2.28
2658112,Visp,CH,46.2937,7.8815,69.78,85,100,2.51
2084442,Vanimo,PG,-2.6741,141.3028,78.1,90,74,6.42
2033413,Yichun,CN,47.7,128.9,69.03,92,4,2.42
3155152,Gravdal,NO,68.1214,13.5031,64.29,77,0,6.91
3467371,Capâo Bonito,BR,-24.0058,-48.3494,81.41,28,8,12.03
2126199,Cherskiy,RU,68.75,161.3,35.37,87,89,16.67
3369157,Cape Town,ZA,-33.9258,18.4232,55.53,88,90,3.0
3366880,Hermanus,ZA,-34.4187,19.2345,57.79,90,44,22.86
5122534,Jamestown,US,42.097,-79.2353,80.91,44,20,14.97
1714733,Dingle,PH,10.9995,122.6711,79.14,81,95,11.68
3454005,Piaçabuçu,BR,-10.4056,-36.4344,77.76,79,31,10.04
4031574,Provideniya,RU,64.3833,-173.3,46.72,99,100,10.94
1140025,Herat Province,AF,34.5,62.0,82.99,11,0,37.8
3928924,Satipo,PE,-11.2522,-74.6386,87.64,43,9,2.73
3414079,Olafsvik,IS,64.8945,-23.7142,53.04,73,72,17.45
1224061,Wattegama,LK,6.7989,81.4808,80.47,68,97,6.71
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,86.72,32,40,4.61
155056,Malampaka,TZ,-3.1333,33.5333,73.0,38,34,5.01
2738785,Guarda,PT,40.5373,-7.2658,75.24,25,0,12.37
3894406,Coihueco,CL,-36.6167,-71.8333,48.94,66,0,14.97
1651810,Airai,TL,-8.9266,125.4092,56.59,79,29,3.0
5382232,Petaluma,US,38.2324,-122.6367,65.57,76,1,0.0
6111696,Port-Cartier,CA,50.0334,-66.8654,66.92,89,100,5.03
2294915,Takoradze,GH,4.8845,-1.7554,78.93,71,100,11.68
1505453,Ishim,RU,56.1128,69.4902,61.84,59,100,9.33
